PlantTreatment,WateringTreatment,NitrogenTreatment,TreatmentCode,SourcePopulation,Sequencing_name,Greenhouse_name,Ancestor
PlantPresent,Wet,Nitrogen,PWN,PWN12,Sample127,Strain248,381
PlantPresent,Wet,Nitrogen,PWN,PWN12,Sample128,Strain249,113
PlantPresent,Dry,Control,PDC,PDC12,Sample129,Strain250,461
PlantPresent,Dry,Nitrogen,PDN,PDN2,Sample13,Strain25,113
PlantPresent,Dry,Control,PDC,PDC12,Sample130,Strain251,461
PlantPresent,Dry,Control,PDC,PDC12,Sample131,Strain252,596
PlantPresent,Dry,Control,PDC,PDC12,Sample132,Strain253,325
PlantPresent,Dry,Control,PDC,PDC12,Sample133,Strain254,729
PlantPresent,Dry,Nitrogen,PDN,PDN12,Sample134,Strain255,325
PlantPresent,Dry,Nitrogen,PDN,PDN12,Sample135,Strain256,460
PlantPresent,Dry,Nitrogen,PDN,PDN12,Sample136,Strain257,729
PlantPresent,Dry,Nitrogen,PDN,PDN12,Sample137,Strain258,729
PlantPresent,Wet,Control,PWC,PWC13,Sample138,Strain271,325
PlantPresent,Wet,Control,PWC,PWC13,Sample139,Strain272,16
PlantPresent,Dry,Nitrogen,PDN,PDN2,Sample14,Strain26,460
PlantPresent,Wet,Control,PWC,PWC13,Sample140,Strain273,16
PlantPresent,Wet,Nitrogen,PWN,PWN13,Sample141,Strain274,325
PlantPresent,Wet,Nitrogen,PWN,PWN13,Sample142,Strain275,325
PlantPresent,Wet,Nitrogen,PWN,PWN13,Sample143,Strain276,460
PlantPresent,Dry,Control,PDC,PDC13,Sample144,Strain277,325
PlantPresent,Dry,Nitrogen,PDN,PDN13,Sample145,Strain278,325
PlantPresent,Wet,Control,PWC,PWC14,Sample146,Strain288,325
PlantPresent,Wet,Control,PWC,PWC14,Sample147,Strain289,108
PlantPresent,Wet,Control,PWC,PWC14,Sample148,Strain290,113
PlantPresent,Wet,Nitrogen,PWN,PWN14,Sample149,Strain291,262
PlantPresent,Wet,Control,PWC,PWC3,Sample15,Strain36,796
PlantPresent,Wet,Nitrogen,PWN,PWN14,Sample150,Strain292,460
PlantPresent,Wet,Nitrogen,PWN,PWN14,Sample151,Strain293,460
PlantPresent,Wet,Control,PWC,PWC15,Sample152,Strain304,113
PlantPresent,Wet,Control,PWC,PWC15,Sample153,Strain305,262
PlantPresent,Wet,Control,PWC,PWC15,Sample154,Strain306,729
PlantPresent,Wet,Nitrogen,PWN,PWN15,Sample155,Strain307,729
PlantPresent,Wet,Nitrogen,PWN,PWN15,Sample156,Strain308,861
PlantPresent,Wet,Nitrogen,PWN,PWN15,Sample157,Strain309,16
PlantPresent,Dry,Nitrogen,PDN,PDN15,Sample158,Strain310,313
PlantPresent,Dry,Nitrogen,PDN,PDN15,Sample159,Strain311,729
PlantPresent,Wet,Control,PWC,PWC3,Sample16,Strain37,726
PlantPresent,Dry,Nitrogen,PDN,PDN15,Sample160,Strain312,381
PlantPresent,Wet,Nitrogen,PWN,PWN3,Sample17,Strain38,460
PlantPresent,Wet,Nitrogen,PWN,PWN3,Sample18,Strain39,381
PlantPresent,Wet,Nitrogen,PWN,PWN3,Sample19,Strain40,313
PlantPresent,Wet,Control,PWC,PWC2,Sample2,Strain14,651
PlantPresent,Dry,Control,PDC,PDC3,Sample20,Strain41,726
PlantPresent,Dry,Control,PDC,PDC3,Sample21,Strain42,460
PlantPresent,Dry,Control,PDC,PDC3,Sample22,Strain43,56
PlantPresent,Dry,Control,PDC,PDC3,Sample23,Strain44,173
PlantPresent,Dry,Nitrogen,PDN,PDN3,Sample24,Strain45,461
PlantPresent,Dry,Nitrogen,PDN,PDN3,Sample25,Strain46,325
PlantPresent,Dry,Nitrogen,PDN,PDN3,Sample26,Strain47,461
PlantPresent,Wet,Control,PWC,PWC4,Sample27,Strain59,173
PlantPresent,Wet,Control,PWC,PWC4,Sample28,Strain60,209
PlantPresent,Wet,Control,PWC,PWC4,Sample29,Strain61,16
PlantPresent,Wet,Control,PWC,PWC2,Sample3,Strain15,108
PlantPresent,Wet,Nitrogen,PWN,PWN4,Sample30,Strain62,861
PlantPresent,Wet,Nitrogen,PWN,PWN4,Sample31,Strain63,325
PlantPresent,Wet,Nitrogen,PWN,PWN4,Sample32,Strain64,100
PlantPresent,Dry,Control,PDC,PDC4,Sample33,Strain65,113
PlantPresent,Dry,Control,PDC,PDC4,Sample34,Strain66,156
PlantPresent,Dry,Control,PDC,PDC4,Sample35,Strain67,173
PlantPresent,Dry,Control,PDC,PDC4,Sample36,Strain68,596
PlantPresent,Dry,Nitrogen,PDN,PDN4,Sample37,Strain69,113
PlantPresent,Dry,Nitrogen,PDN,PDN4,Sample38,Strain70,461
PlantPresent,Dry,Nitrogen,PDN,PDN4,Sample39,Strain71,796
PlantPresent,Wet,Nitrogen,PWN,PWN2,Sample4,Strain16,381
PlantPresent,Dry,Nitrogen,PDN,PDN4,Sample40,Strain72,861
PlantPresent,Wet,Control,PWC,PWC5,Sample41,Strain84,113
PlantPresent,Wet,Control,PWC,PWC5,Sample42,Strain85,381
PlantPresent,Wet,Nitrogen,PWN,PWN5,Sample43,Strain86,475
PlantPresent,Wet,Nitrogen,PWN,PWN5,Sample44,Strain87,729
PlantPresent,Dry,Control,PDC,PDC5,Sample45,Strain88,460
PlantPresent,Dry,Control,PDC,PDC5,Sample46,Strain89,726
PlantPresent,Dry,Control,PDC,PDC5,Sample47,Strain90,108
PlantPresent,Dry,Control,PDC,PDC5,Sample48,Strain91,460
PlantPresent,Dry,Nitrogen,PDN,PDN5,Sample49,Strain92,108
PlantPresent,Wet,Nitrogen,PWN,PWN2,Sample5,Strain17,460
PlantPresent,Dry,Nitrogen,PDN,PDN5,Sample50,Strain93,108
PlantPresent,Dry,Nitrogen,PDN,PDN5,Sample51,Strain94,173
PlantPresent,Wet,Control,PWC,PWC6,Sample52,Strain108,325
PlantPresent,Wet,Control,PWC,PWC6,Sample53,Strain109,729
PlantPresent,Wet,Control,PWC,PWC6,Sample54,Strain110,651
PlantPresent,Wet,Nitrogen,PWN,PWN6,Sample55,Strain111,16
PlantPresent,Wet,Nitrogen,PWN,PWN6,Sample56,Strain112,325
PlantPresent,Wet,Nitrogen,PWN,PWN6,Sample57,Strain113,729
PlantPresent,Dry,Control,PDC,PDC6,Sample58,Strain114,861
PlantPresent,Dry,Control,PDC,PDC6,Sample59,Strain115,596
PlantPresent,Wet,Nitrogen,PWN,PWN2,Sample6,Strain18,325
PlantPresent,Dry,Control,PDC,PDC6,Sample60,Strain116,861
PlantPresent,Dry,Control,PDC,PDC6,Sample61,Strain117,325
PlantPresent,Dry,Nitrogen,PDN,PDN6,Sample62,Strain118,651
PlantPresent,Dry,Nitrogen,PDN,PDN6,Sample63,Strain119,209
PlantPresent,Dry,Nitrogen,PDN,PDN6,Sample64,Strain120,325
PlantPresent,Dry,Nitrogen,PDN,PDN6,Sample65,Strain121,325
PlantPresent,Wet,Control,PWC,PWC7,Sample66,Strain134,325
PlantPresent,Wet,Control,PWC,PWC7,Sample67,Strain135,460
PlantPresent,Wet,Control,PWC,PWC7,Sample68,Strain136,325
PlantPresent,Wet,Nitrogen,PWN,PWN7,Sample69,Strain137,173
PlantPresent,Dry,Control,PDC,PDC2,Sample7,Strain19,325
PlantPresent,Wet,Nitrogen,PWN,PWN7,Sample70,Strain138,461
PlantPresent,Wet,Nitrogen,PWN,PWN7,Sample71,Strain139,313
PlantPresent,Dry,Control,PDC,PDC7,Sample72,Strain140,325
PlantPresent,Dry,Control,PDC,PDC7,Sample73,Strain141,16
PlantPresent,Dry,Control,PDC,PDC7,Sample74,Strain142,56
PlantPresent,Dry,Control,PDC,PDC7,Sample75,Strain143,729
PlantPresent,Dry,Nitrogen,PDN,PDN7,Sample76,Strain144,325
PlantPresent,Dry,Nitrogen,PDN,PDN7,Sample77,Strain145,729
PlantPresent,Dry,Nitrogen,PDN,PDN7,Sample78,Strain146,325
PlantPresent,Dry,Nitrogen,PDN,PDN7,Sample79,Strain147,325
PlantPresent,Dry,Control,PDC,PDC2,Sample8,Strain20,325
PlantPresent,Wet,Control,PWC,PWC8,Sample80,Strain157,729
PlantPresent,Wet,Control,PWC,PWC8,Sample81,Strain158,796
PlantPresent,Wet,Control,PWC,PWC8,Sample82,Strain159,173
PlantPresent,Wet,Nitrogen,PWN,PWN8,Sample83,Strain160,796
PlantPresent,Wet,Nitrogen,PWN,PWN8,Sample84,Strain161,56
PlantPresent,Wet,Nitrogen,PWN,PWN8,Sample85,Strain162,729
PlantPresent,Dry,Control,PDC,PDC8,Sample86,Strain163,113
PlantPresent,Dry,Control,PDC,PDC8,Sample87,Strain164,173
PlantPresent,Dry,Control,PDC,PDC8,Sample88,Strain165,16
PlantPresent,Dry,Control,PDC,PDC8,Sample89,Strain166,325
PlantPresent,Dry,Control,PDC,PDC2,Sample9,Strain21,56
PlantPresent,Dry,Nitrogen,PDN,PDN8,Sample90,Strain167,460
PlantPresent,Dry,Nitrogen,PDN,PDN8,Sample91,Strain168,460
PlantPresent,Dry,Nitrogen,PDN,PDN8,Sample92,Strain169,209
PlantPresent,Dry,Nitrogen,PDN,PDN8,Sample93,Strain170,209
PlantPresent,Wet,Control,PWC,PWC9,Sample94,Strain180,209
PlantPresent,Wet,Control,PWC,PWC9,Sample95,Strain181,156
PlantPresent,Wet,Control,PWC,PWC9,Sample96,Strain182,706
PlantPresent,Wet,Nitrogen,PWN,PWN9,Sample97,Strain183,16
PlantPresent,Wet,Nitrogen,PWN,PWN9,Sample98,Strain184,209
PlantPresent,Wet,Nitrogen,PWN,PWN9,Sample99,Strain185,861
