Gene,Replicon,Annotation,PWN_freq,PWN_prop,PWC_freq,PWC_prop
hsrA_2,Chromosome,putative transport protein HsrA,38,1,40,1
dapb1,Chromosome,Dipeptidyl aminopeptidase BI,38,1,40,1
catE,Chromosome,"Catechol-2,3-dioxygenase",38,1,40,1
msrB_1,Chromosome,Peptide methionine sulfoxide reductase MsrB,38,1,40,1
mrpB,Chromosome,Na(+)/H(+) antiporter subunit B,38,1,40,1
sufE,Chromosome,Cysteine desulfuration protein SufE,38,1,40,1
efpA,Chromosome,putative MFS-type transporter EfpA,38,1,40,1
degA_2,Chromosome,HTH-type transcriptional regulator DegA,38,1,40,1
groS5,Chromosome,10 kDa chaperonin 5,38,1,40,1
groL5,Chromosome,60 kDa chaperonin 5,38,1,40,1
iolE_1,Chromosome,Inosose dehydratase,38,1,40,1
htrA,Chromosome,Serine protease Do-like HtrA,38,1,40,1
ccmF,Chromosome,Cytochrome c-type biogenesis protein CcmF,38,1,40,1
ccmH,Chromosome,Cytochrome c-type biogenesis protein CcmH,38,1,40,1
glnE,Chromosome,Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme,38,1,40,1
pepN,Chromosome,Aminopeptidase N,38,1,40,1
group_1808,Chromosome,Pseudopaline exporter CntI,38,1,40,1
group_1816,Chromosome,Zinc-type alcohol dehydrogenase-like protein,38,1,40,1
ydhP_1,Chromosome,Inner membrane transport protein YdhP,38,1,40,1
yegS,Chromosome,lipid kinase YegS,38,1,40,1
spuC,Chromosome,Putrescine--pyruvate aminotransferase,38,1,40,1
rgtA,Chromosome,Lipopolysaccharide core galacturonosyltransferase RgtA,38,1,40,1
rgtC,Chromosome,Lipopolysaccharide core galacturonosyltransferase RgtC,38,1,40,1
hisC_1,Chromosome,Histidinol-phosphate aminotransferase,38,1,40,1
iolD,Chromosome,"3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase",38,1,40,1
iolG_3,Chromosome,Myo-inositol 2-dehydrogenase,38,1,40,1
ddmA1,Chromosome,"Dicamba O-demethylase 1, ferredoxin reductase component",38,1,40,1
smpB,Chromosome,SsrA-binding protein,38,1,40,1
rpoZ,Chromosome,DNA-directed RNA polymerase subunit omega,38,1,40,1
acpS,Chromosome,Holo-[acyl-carrier-protein] synthase,38,1,40,1
lepB,Chromosome,Signal peptidase I,38,1,40,1
recO,Chromosome,DNA repair protein RecO,38,1,40,1
yojM,Chromosome,Superoxide dismutase-like protein YojM,38,1,40,1
dmdC_2,Chromosome,3-methylmercaptopropionyl-CoA dehydrogenase,38,1,40,1
atm1,Chromosome,ATM1-type heavy metal exporter,38,1,40,1
rarD,Chromosome,Protein RarD,38,1,40,1
cysS,Chromosome,Cysteine--tRNA ligase,38,1,40,1
alr,Chromosome,"Alanine racemase, biosynthetic",38,1,40,1
rplI,Chromosome,50S ribosomal protein L9,38,1,40,1
fabD,Chromosome,Malonyl CoA-acyl carrier protein transacylase,38,1,40,1
mltG,Chromosome,Endolytic murein transglycosylase,38,1,40,1
rsmA,Chromosome,Ribosomal RNA small subunit methyltransferase A,38,1,40,1
pepA_1,Chromosome,Cytosol aminopeptidase,38,1,40,1
araA,Chromosome,L-arabinose 1-dehydrogenase (NAD(P)(+)),38,1,40,1
rlmJ,Chromosome,Ribosomal RNA large subunit methyltransferase J,38,1,40,1
phnM_1,Chromosome,Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase,38,1,40,1
purM,Chromosome,Phosphoribosylformylglycinamidine cyclo-ligase,38,1,40,1
gppA_2,Chromosome,"Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase",38,1,40,1
hxpA,Chromosome,Hexitol phosphatase A,38,1,40,1
COQ3_1,Chromosome,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",38,1,40,1
nagC_1,Chromosome,N-acetylglucosamine repressor,38,1,40,1
msmE_1,Chromosome,Multiple sugar-binding protein,38,1,40,1
ngcF_1,Chromosome,Diacetylchitobiose uptake system permease protein NgcF,38,1,40,1
ctaA,Chromosome,Heme A synthase,38,1,40,1
argC,Chromosome,N-acetyl-gamma-glutamyl-phosphate reductase,38,1,40,1
pksS,Chromosome,Polyketide biosynthesis cytochrome P450 PksS,38,1,40,1
btuE,Chromosome,Thioredoxin/glutathione peroxidase BtuE,38,1,40,1
nqo3,Chromosome,NADH-quinone oxidoreductase chain 3,38,1,40,1
nuoL,Chromosome,NADH-quinone oxidoreductase subunit L,38,1,40,1
birA,Chromosome,Bifunctional ligase/repressor BirA,38,1,40,1
rnj,Chromosome,Ribonuclease J,38,1,40,1
lolE,Chromosome,Lipoprotein-releasing system transmembrane protein LolE,38,1,40,1
lolD,Chromosome,Lipoprotein-releasing system ATP-binding protein LolD,38,1,40,1
topA,Chromosome,DNA topoisomerase 1,38,1,40,1
pyrC_2,Chromosome,Dihydroorotase,38,1,40,1
rne,Chromosome,Ribonuclease E,38,1,40,1
rpmC,Chromosome,50S ribosomal protein L29,38,1,40,1
