Gene,Replicon,Annotation,PWN_freq,PWN_prop,PWC_freq,PWC_prop
tagH,Chromosome,Teichoic acids export ATP-binding protein TagH,5,0.131578947,2,0.05
dprE1,Chromosome,Decaprenylphosphoryl-beta-D-ribose oxidase,5,0.131578947,2,0.05
dprE2,Chromosome,Decaprenylphosphoryl-2-keto-beta-D-erythro-pentose reductase,5,0.131578947,2,0.05
arnB,Chromosome,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase,5,0.131578947,2,0.05
pseB,Chromosome,"UDP-N-acetylglucosamine 4,6-dehydratase (inverting)",5,0.131578947,2,0.05
apxIB,Chromosome,Toxin RTX-I translocation ATP-binding protein,5,0.131578947,2,0.05
hlyD,Chromosome,"Hemolysin secretion protein D, chromosomal",5,0.131578947,2,0.05
ligD,Chromosome,Multifunctional non-homologous end joining protein LigD,5,0.131578947,8,0.2
pstC,Chromosome,Phosphate transport system permease protein PstC,5,0.131578947,4,0.1
pstA,Chromosome,Phosphate transport system permease protein PstA,5,0.131578947,4,0.1
rrrD,Chromosome,Lysozyme RrrD,5,0.131578947,3,0.075
pknD,Chromosome,Serine/threonine-protein kinase PknD,5,0.131578947,2,0.05
recB,Chromosome,RecBCD enzyme subunit RecB,5,0.131578947,3,0.075
hpaIIM,Chromosome,Modification methylase HpaII,5,0.131578947,2,0.05
patA,Chromosome,Peptidoglycan O-acetyltransferase,5,0.131578947,8,0.2
dkgA,Chromosome,"2,5-diketo-D-gluconic acid reductase A",5,0.131578947,2,0.05
hin,Chromosome,DNA-invertase hin,4,0.105263158,7,0.175
group_6034,Chromosome,Putative antitoxin VapB45,4,0.105263158,4,0.1
MENG,Chromosome,"2-phytyl-1,4-beta-naphthoquinone methyltransferase, chloroplastic",4,0.105263158,6,0.15
mcrC,Chromosome,Protein McrC,4,0.105263158,5,0.125
fldP,Chromosome,Flavodoxin FldP,4,0.105263158,5,0.125
yjjV,Chromosome,putative metal-dependent hydrolase YjjV,4,0.105263158,5,0.125
livK,Chromosome,Leucine-specific-binding protein,3,0.078947368,5,0.125
bin3,Chromosome,Putative transposon Tn552 DNA-invertase bin3,3,0.078947368,4,0.1
group_4340,Chromosome,tRNA-His(gtg),3,0.078947368,5,0.125
bchE,Chromosome,Anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase,3,0.078947368,4,0.1
otsA,Chromosome,Trehalose-6-phosphate synthase,3,0.078947368,4,0.1
nphR,Chromosome,Transcriptional activator NphR,3,0.078947368,4,0.1
menB,Chromosome,"1,4-dihydroxy-2-naphthoyl-CoA synthase",3,0.078947368,4,0.1
araA_1,Chromosome,L-arabinose isomerase,3,0.078947368,4,0.1
mfpsA,Chromosome,Mannosylfructose-phosphate synthase,3,0.078947368,4,0.1
potF,Chromosome,Putrescine-binding periplasmic protein,3,0.078947368,4,0.1
group_4493,Chromosome,Gluconokinase,3,0.078947368,4,0.1
tylM1,Chromosome,"dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose N,N-dimethyltransferase",3,0.078947368,4,0.1
per_1,Chromosome,GDP-perosamine synthase,3,0.078947368,4,0.1
atpG_1,Chromosome,ATP synthase subunit b',3,0.078947368,4,0.1
potB,Chromosome,Spermidine/putrescine transport system permease protein PotB,3,0.078947368,4,0.1
mltF_2,Chromosome,Membrane-bound lytic murein transglycosylase F,3,0.078947368,4,0.1
group_4588,Chromosome,IS630 family transposase ISBj5,3,0.078947368,4,0.1
fic,Chromosome,putative protein adenylyltransferase Fic,3,0.078947368,4,0.1
group_4617,Chromosome,putative membrane transporter protein,3,0.078947368,4,0.1
sigH_1,Chromosome,ECF RNA polymerase sigma factor SigH,3,0.078947368,4,0.1
group_4635,Chromosome,Blue-light-activated protein,3,0.078947368,4,0.1
zitB,Chromosome,Zinc transporter ZitB,3,0.078947368,4,0.1
csoR,Chromosome,Copper-sensing transcriptional repressor CsoR,3,0.078947368,4,0.1
yqaA,Chromosome,Inner membrane protein YqaA,3,0.078947368,4,0.1
yokD,Chromosome,SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD,3,0.078947368,4,0.1
ycdF,Chromosome,Glucose 1-dehydrogenase 2,3,0.078947368,4,0.1
lvr,Chromosome,Levodione reductase,3,0.078947368,4,0.1
alx,Chromosome,Putative membrane-bound redox modulator Alx,3,0.078947368,4,0.1
group_4841,Chromosome,Diguanylate cyclase VdcA,3,0.078947368,4,0.1
dthD,Chromosome,D-threitol dehydrogenase,3,0.078947368,4,0.1
dhaL-2_1,Chromosome,"PEP-dependent dihydroxyacetone kinase 2, ADP-binding subunit DhaL",3,0.078947368,4,0.1
tmoT,Chromosome,Response regulator protein TmoT,3,0.078947368,4,0.1
ctpF,Chromosome,putative cation-transporting ATPase F,3,0.078947368,4,0.1
actP,Chromosome,Copper-transporting P-type ATPase,3,0.078947368,4,0.1
adhA,Chromosome,putative alcohol dehydrogenase AdhA,3,0.078947368,4,0.1
pduW,Chromosome,putative propionate kinase,3,0.078947368,4,0.1
silP,Chromosome,Silver exporting P-type ATPase,3,0.078947368,4,0.1
group_5004,Chromosome,putative ABC transporter permease protein,3,0.078947368,4,0.1
nimR,Chromosome,HTH-type transcriptional regulator NimR,3,0.078947368,4,0.1
virB4,Chromosome,Type IV secretion system protein virB4,3,0.078947368,4,0.1
group_5038,Chromosome,Type IV secretion system protein VirB11,3,0.078947368,4,0.1
traG,Chromosome,Conjugal transfer protein TraG,3,0.078947368,4,0.1
soj,Chromosome,Chromosome-partitioning ATPase Soj,3,0.078947368,4,0.1
bcpA,Chromosome,Carboxyvinyl-carboxyphosphonate phosphorylmutase,3,0.078947368,4,0.1
cdsA,Chromosome,Phosphatidate cytidylyltransferase,3,0.078947368,4,0.1
apbE,Chromosome,FAD:protein FMN transferase,3,0.078947368,4,0.1
LhpG,Chromosome,Alpha-ketoglutaric semialdehyde dehydrogenase 3,3,0.078947368,4,0.1
pnoA,Chromosome,Nitronate monooxygenase,3,0.078947368,4,0.1
paoC,Chromosome,Aldehyde oxidoreductase molybdenum-binding subunit PaoC,3,0.078947368,4,0.1
iorB_1,Chromosome,Isoquinoline 1-oxidoreductase subunit beta,3,0.078947368,4,0.1
iorA_1,Chromosome,Isoquinoline 1-oxidoreductase subunit alpha,3,0.078947368,4,0.1
group_5166,Chromosome,IS1182 family transposase ISRle11,3,0.078947368,4,0.1
group_5218,Chromosome,Cytochrome c2,3,0.078947368,4,0.1
xecD,Chromosome,2-(R)-hydroxypropyl-CoM dehydrogenase,3,0.078947368,4,0.1
ppsC,Chromosome,Phthiocerol synthesis polyketide synthase type I PpsC,3,0.078947368,4,0.1
group_5257,Chromosome,IS5 family transposase ISPaes2,3,0.078947368,4,0.1
group_5258,Chromosome,IS5 family transposase ISPha1,3,0.078947368,4,0.1
ligU,Chromosome,(4E)-oxalomesaconate Delta-isomerase,3,0.078947368,4,0.1
ligK,Chromosome,4-carboxy-4-hydroxy-2-oxoadipate aldolase,3,0.078947368,4,0.1
galB,Chromosome,4-oxalmesaconate hydratase,3,0.078947368,4,0.1
group_5370,Chromosome,putative sulfate transporter,3,0.078947368,4,0.1
group_5371,Chromosome,Polyphosphate:ADP phosphotransferase 3,3,0.078947368,4,0.1
glaR,Chromosome,HTH-type transcriptional repressor GlaR,3,0.078947368,4,0.1
mcp4,Chromosome,Methyl-accepting chemotaxis protein 4,3,0.078947368,4,0.1
tmcA,Chromosome,tRNA(Met) cytidine acetyltransferase TmcA,3,0.078947368,4,0.1
COQ2,Chromosome,"4-hydroxybenzoate polyprenyltransferase, mitochondrial",3,0.078947368,4,0.1
group_5479,Chromosome,Secretory immunoglobulin A-binding protein EsiB,3,0.078947368,4,0.1
rdmC,Chromosome,Aclacinomycin methylesterase RdmC,3,0.078947368,4,0.1
yodB,Chromosome,Cytochrome b561,3,0.078947368,4,0.1
badR,Chromosome,Transcriptional activatory protein BadR,3,0.078947368,4,0.1
msiK,Chromosome,Diacetylchitobiose uptake system ATP-binding protein MsiK,3,0.078947368,4,0.1
tetM,Chromosome,Tetracycline resistance protein TetM from transposon TnFO1,3,0.078947368,4,0.1
group_5629,Chromosome,IS630 family transposase ISRm2011-2,3,0.078947368,4,0.1
group_5650,Chromosome,D-inositol 3-phosphate glycosyltransferase,3,0.078947368,4,0.1
group_5718,Chromosome,putative ABC transporter permease,3,0.078947368,4,0.1
rpfG,Chromosome,Cyclic di-GMP phosphodiesterase response regulator RpfG,3,0.078947368,4,0.1
glxR_1,Chromosome,CRP-like cAMP-activated global transcriptional regulator,3,0.078947368,4,0.1
group_5779,Chromosome,tRNA-Arg(tcg),3,0.078947368,4,0.1
agpA,Chromosome,Periplasmic alpha-galactoside-binding protein,3,0.078947368,4,0.1
bgaB,Chromosome,Beta-galactosidase bgaB,3,0.078947368,4,0.1
nanR_1,Chromosome,HTH-type transcriptional repressor NanR,3,0.078947368,4,0.1
gci,Chromosome,D-galactarolactone cycloisomerase,3,0.078947368,4,0.1
thi4,Chromosome,Thiamine thiazole synthase,3,0.078947368,4,0.1
aziB2,Chromosome,3-hydroxy-5-methyl-1-naphthoate 3-O-methyltransferase,3,0.078947368,4,0.1
group_5831,Chromosome,D-galactonate dehydratase family member,3,0.078947368,4,0.1
rspA,Chromosome,D-galactonate dehydratase family member RspA,3,0.078947368,4,0.1
yfeA,Chromosome,Periplasmic chelated iron-binding protein YfeA,3,0.078947368,4,0.1
group_5869,Chromosome,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase,3,0.078947368,4,0.1
mftE,Chromosome,Putative mycofactocin system creatinine amidohydrolase family protein MftE,3,0.078947368,4,0.1
zntA,Chromosome,Zinc/cadmium/lead-transporting P-type ATPase,3,0.078947368,4,0.1
group_5943,Chromosome,IS1380 family transposase ISRsp7,3,0.078947368,4,0.1
hemL,Chromosome,"Glutamate-1-semialdehyde 2,1-aminomutase",3,0.078947368,4,0.1
arsA,Chromosome,Arsenical pump-driving ATPase,3,0.078947368,4,0.1
group_5998,Chromosome,Putative low molecular weight protein-tyrosine-phosphatase,3,0.078947368,4,0.1
aacA4,Chromosome,Aminoglycoside N(6')-acetyltransferase type 1,3,0.078947368,4,0.1
ptxB,Chromosome,putative phosphite transport system-binding protein PtxB,3,0.078947368,4,0.1
group_6115,Chromosome,Rhamnosyl O-methyltransferase,3,0.078947368,4,0.1
vioB,Chromosome,"dTDP-4-amino-4,6-dideoxy-D-glucose acyltransferase",3,0.078947368,4,0.1
rfbG,Chromosome,"CDP-glucose 4,6-dehydratase",3,0.078947368,4,0.1
rfbF,Chromosome,Glucose-1-phosphate cytidylyltransferase,3,0.078947368,4,0.1
hchA_4,Chromosome,Protein/nucleic acid deglycase 1,3,0.078947368,4,0.1
lsrG,Chromosome,"(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase",3,0.078947368,4,0.1
group_6160,Chromosome,Succinate-semialdehyde dehydrogenase [NADP(+)],3,0.078947368,40,1
group_6173,Chromosome,putative hydrolase,3,0.078947368,4,0.1
rapA,Chromosome,RNA polymerase-associated protein RapA,3,0.078947368,4,0.1
oatA_1,Chromosome,O-acetyltransferase OatA,3,0.078947368,5,0.125
group_6317,Chromosome,tRNA-Asn(gtt),3,0.078947368,3,0.075
group_6337,Chromosome,N-carbamoyl-D-amino acid hydrolase,3,0.078947368,3,0.075
cnrA,Chromosome,Nickel and cobalt resistance protein CnrA,3,0.078947368,3,0.075
citE,Chromosome,Citrate lyase subunit beta,3,0.078947368,3,0.075
ndbB,Chromosome,Demethylphylloquinone reductase NdbB,3,0.078947368,3,0.075
fumB,Chromosome,"Fumarate hydratase class I, anaerobic",3,0.078947368,3,0.075
calA,Chromosome,Coniferyl-alcohol dehydrogenase,3,0.078947368,3,0.075
group_6372,Chromosome,Methyl-branched lipid omega-hydroxylase,3,0.078947368,3,0.075
gbuA,Chromosome,Guanidinobutyrase,3,0.078947368,3,0.075
davT,Chromosome,5-aminovalerate aminotransferase DavT,3,0.078947368,3,0.075
safD,Chromosome,Sulfoacetaldehyde dehydrogenase,3,0.078947368,3,0.075
thcD,Chromosome,Rhodocoxin reductase,3,0.078947368,3,0.075
puuC_1,Chromosome,NADP/NAD-dependent aldehyde dehydrogenase PuuC,3,0.078947368,3,0.075
group_6384,Chromosome,acetoacetate decarboxylase,3,0.078947368,3,0.075
araL,Chromosome,Sugar-phosphatase AraL,3,0.078947368,3,0.075
cfiA,Chromosome,2-oxoglutarate carboxylase large subunit,3,0.078947368,3,0.075
ppsA,Chromosome,Phosphoenolpyruvate synthase,3,0.078947368,3,0.075
cmdD,Chromosome,Chondramide synthase cmdD,3,0.078947368,3,0.075
group_6402,Chromosome,Limonene hydroxylase,3,0.078947368,3,0.075
ytcD,Chromosome,putative HTH-type transcriptional regulator YtcD,3,0.078947368,3,0.075
group_7131,Chromosome,IS5 family transposase ISRel13,3,0.078947368,6,0.15
ligI,Chromosome,"2-pyrone-4,6-dicarboxylate hydrolase",3,0.078947368,3,0.075
group_7455,Chromosome,IS5 family transposase ISNeu3,3,0.078947368,3,0.075
group_3175,Chromosome,IS3 family transposase ISRle4,2,0.052631579,5,0.125
asnB,Chromosome,Asparagine synthetase [glutamine-hydrolyzing] 1,2,0.052631579,4,0.1
stp,Chromosome,Serine/threonine phosphatase stp,2,0.052631579,3,0.075
cmpD,Chromosome,Bicarbonate transport ATP-binding protein CmpD,1,0.026315789,1,0.025
hsdM,Chromosome,Type I restriction enzyme EcoKI M protein,1,0.026315789,2,0.05
dbpA,Chromosome,ATP-dependent RNA helicase DbpA,1,0.026315789,2,0.05
group_4290,Chromosome,putative oxidoreductase CzcO,1,0.026315789,6,0.15
group_4291,Chromosome,Pentapeptide repeat protein,1,0.026315789,4,0.1
puuP,Chromosome,Putrescine importer PuuP,1,0.026315789,2,0.05
ydiO,Chromosome,putative BsuMI modification methylase subunit YdiO,1,0.026315789,3,0.075
group_6527,Chromosome,IS5 family transposase ISPye39,1,0.026315789,3,0.075
group_6538,Chromosome,S-inosyl-L-homocysteine hydrolase,1,0.026315789,3,0.075
group_6608,Chromosome,Modification methylase Eco57IB,1,0.026315789,3,0.075
wapA,Chromosome,tRNA3(Ser)-specific nuclease WapA,1,0.026315789,3,0.075
wbpI,Chromosome,"UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase",1,0.026315789,1,0.025
group_7065,Chromosome,Ornithine carbamoyltransferase,1,0.026315789,3,0.075
banIM,Chromosome,Modification methylase BanI,1,0.026315789,1,0.025
speG,Chromosome,Spermidine N(1)-acetyltransferase,1,0.026315789,2,0.05
group_7977,Chromosome,ATP-dependent DNA helicase Rep,1,0.026315789,3,0.075
chuR,Chromosome,Anaerobic sulfatase-maturating enzyme,1,0.026315789,3,0.075
group_8121,Chromosome,IS110 family transposase ISMtsp6,1,0.026315789,3,0.075
group_8146,Chromosome,Low-molecular weight cobalt-containing nitrile hydratase subunit alpha,1,0.026315789,3,0.075
rssB,Chromosome,Regulator of RpoS,1,0.026315789,3,0.075
oleB,Chromosome,Cis-3-alkyl-4-alkyloxetan-2-one decarboxylase,1,0.026315789,3,0.075
virC1,Chromosome,Protein virC1,1,0.026315789,3,0.075
tycC,tI,Tyrocidine synthase 3,35,1,35,1
dmsA,tI,Dimethyl sulfoxide/trimethylamine N-oxide reductase,35,1,35,1
oppD_1,tI,Oligopeptide transport ATP-binding protein OppD,35,1,35,1
dapA_2,tI,4-hydroxy-tetrahydrodipicolinate synthase,35,1,35,1
pcm,tI,Protein-L-isoaspartate O-methyltransferase,35,1,35,1
proC_1,tI,Pyrroline-5-carboxylate reductase,35,1,35,1
apnL,tI,D-apionate lactonase,35,1,35,1
calA,tI,Coniferyl-alcohol dehydrogenase,35,1,35,1
livF_2,tI,High-affinity branched-chain amino acid transport ATP-binding protein LivF,35,1,35,1
ydeP,tI,Protein YdeP,35,1,35,1
dpkA,tI,Delta(1)-pyrroline-2-carboxylate/Delta(1)-piperideine-2-carboxylate reductase,35,1,35,1
dapH,tI,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase",35,1,35,1
otnK,tI,3-oxo-tetronate kinase,35,1,35,1
ttuC',tI,putative tartrate dehydrogenase/decarboxylase TtuC',35,1,35,1
hutH,tI,Histidine ammonia-lyase,35,1,35,1
fixL,tI,Sensor protein FixL,35,1,35,1
lacF_1,tI,Lactose transport system permease protein LacF,35,1,35,1
aes,tI,Acetyl esterase,35,1,35,1
bdlA,tI,Biofilm dispersion protein BdlA,35,1,35,1
ldh,tI,L-lactate dehydrogenase,35,1,35,1
group_190,tI,D-tagatose 6-phosphate 4-epimerase,35,1,35,1
murK,tI,N-acetylmuramic acid/N-acetylglucosamine kinase,35,1,35,1
melR,tI,Melibiose operon regulatory protein,35,1,35,1
ptsJ_2,tI,Vitamin B6 salvage pathway transcriptional repressor PtsJ,35,1,35,1
codAch2,tI,Pterin deaminase,35,1,35,1
mepA,tI,Multidrug export protein MepA,35,1,35,1
oppF_1,tI,Oligopeptide transport ATP-binding protein OppF,35,1,35,1
rutB,tI,Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB,35,1,33,0.942857143
nagZ,tI,Beta-hexosaminidase,35,1,35,1
dhaL-2,tI,"PEP-dependent dihydroxyacetone kinase 2, ADP-binding subunit DhaL",35,1,35,1
apsD,tI,D-apiose dehydrogenase,35,1,35,1
nanR_3,tI,HTH-type transcriptional repressor NanR,35,1,35,1
rhaS_1,tI,HTH-type transcriptional activator RhaS,35,1,35,1
fusA,tI,Elongation factor G,35,1,35,1
tdh,tI,L-threonine 3-dehydrogenase,35,1,35,1
linF,tI,Maleylacetate reductase,35,1,35,1
mdtA_1,tI,Multidrug resistance protein MdtA,35,1,35,1
tcyB,tI,L-cystine transport system permease protein TcyB,35,1,35,1
rbsB_2,tI,Ribose import binding protein RbsB,35,1,35,1
srlR_1,tI,Glucitol operon repressor,35,1,35,1
rbsC_2,tI,Ribose import permease protein RbsC,35,1,35,1
cheB,tI,Protein-glutamate methylesterase/protein-glutamine glutaminase,35,1,35,1
nagC,tI,N-acetylglucosamine repressor,35,1,35,1
cspA,tI,Cold shock protein CspA,35,1,35,1
sugB_1,tI,Trehalose transport system permease protein SugB,35,1,35,1
potB_1,tI,Spermidine/putrescine transport system permease protein PotB,35,1,33,0.942857143
lacG,tI,Lactose transport system permease protein LacG,35,1,35,1
ousW,tI,Glycine betaine/choline transport system permease protein OusW,35,1,35,1
ribX_2,tI,Riboflavin transport system permease protein RibX,35,1,35,1
hipO,tI,Hippurate hydrolase,35,1,35,1
puuR,tI,HTH-type transcriptional regulator PuuR,35,1,35,1
oxyR,tI,Hydrogen peroxide-inducible genes activator,35,1,35,1
fadR,tI,Fatty acid metabolism regulator protein,35,1,35,1
afr,tI,"1,5-anhydro-D-fructose reductase",35,1,35,1
siaM,tI,Sialic acid TRAP transporter large permease protein SiaM,35,1,35,1
siaP,tI,Sialic acid-binding periplasmic protein SiaP,35,1,35,1
ycjP_1,tI,Inner membrane ABC transporter permease protein YcjP,35,1,35,1
cmpD_2,tI,Bicarbonate transport ATP-binding protein CmpD,35,1,35,1
group_2478,tI,6-deoxy-6-sulfo-D-gluconate dehydratase,35,1,35,1
group_2481,tI,Alpha-ketoglutaric semialdehyde dehydrogenase 2,35,1,35,1
group_2484,tI,L-cystine transport system permease protein YecS,35,1,35,1
rspR_1,tI,HTH-type transcriptional repressor RspR,35,1,35,1
groL5,tI,60 kDa chaperonin 5,35,1,35,1
ugpC_4,tI,sn-glycerol-3-phosphate import ATP-binding protein UgpC,35,1,35,1
nagR,tI,HTH-type transcriptional repressor NagR,35,1,35,1
eryD,tI,Erythritol catabolism regulatory protein EryD,35,1,35,1
ribN,tI,Riboflavin transporter,35,1,35,1
dhaK-2,tI,"PTS-dependent dihydroxyacetone kinase 2, dihydroxyacetone-binding subunit DhaK",35,1,35,1
gsiC_4,tI,Glutathione transport system permease protein GsiC,35,1,35,1
tmoT_1,tI,Response regulator protein TmoT,35,1,35,1
sugA_3,tI,Trehalose transport system permease protein SugA,35,1,35,1
lsrB,tI,Autoinducer 2-binding protein LsrB,35,1,35,1
katG,tI,Catalase-peroxidase,35,1,35,1
dasC_2,tI,Diacetylchitobiose uptake system permease protein DasC,35,1,35,1
gltR,tI,HTH-type transcriptional regulator GltR,35,1,35,1
group_2511,tI,Carnitine monooxygenase oxygenase subunit,35,1,35,1
fhuA,tI,Ferrichrome outer membrane transporter/phage receptor,35,1,35,1
apnO,tI,D-apionate oxidoisomerase,35,1,35,1
ydcV_1,tI,Inner membrane ABC transporter permease protein YdcV,35,1,35,1
araP,tI,L-arabinose transport system permease protein AraP,35,1,35,1
swrC,tI,Swarming motility protein SwrC,35,1,35,1
derI,tI,D-erythrulose-4-phosphate isomerase,35,1,35,1
ddpC_1,tI,"putative D,D-dipeptide transport system permease protein DdpC",35,1,35,1
ddpA,tI,"putative D,D-dipeptide-binding periplasmic protein DdpA",35,1,35,1
eltP,tI,Erythritol/L-threitol-binding protein,35,1,35,1
corA,tI,Cobalt/magnesium transport protein CorA,35,1,35,1
msmX_1,tI,Oligosaccharides import ATP-binding protein MsmX,35,1,35,1
ccp,tI,Cytochrome c551 peroxidase,35,1,35,1
mglB,tI,D-galactose-binding periplasmic protein,35,1,35,1
dppB_2,tI,Dipeptide transport system permease protein DppB,35,1,35,1
fda,tI,Fructose-bisphosphate aldolase,35,1,35,1
mglA,tI,Galactose/methyl galactoside import ATP-binding protein MglA,35,1,35,1
rbsA_4,tI,Ribose import ATP-binding protein RbsA,35,1,35,1
xypA,tI,Xylitol-binding protein,35,1,35,1
gntR,tI,HTH-type transcriptional regulator GntR,35,1,35,1
cpo_1,tI,Non-heme chloroperoxidase,35,1,35,1
cra,tI,Catabolite repressor/activator,35,1,35,1
btuD_4,tI,Vitamin B12 import ATP-binding protein BtuD,35,1,35,1
hisD,tI,Histidinol dehydrogenase,35,1,35,1
puuB_2,tI,Gamma-glutamylputrescine oxidoreductase,35,1,35,1
yesR,tI,Unsaturated rhamnogalacturonyl hydrolase YesR,35,1,35,1
group_2556,tI,D-erythritol 1-phosphate dehydrogenase,35,1,35,1
group_2558,tI,putative 5-dehydro-4-deoxyglucarate dehydratase,35,1,35,1
serA,tI,D-3-phosphoglycerate dehydrogenase,35,1,33,0.942857143
ghrA,tI,Glyoxylate/hydroxypyruvate reductase A,35,1,35,1
dasA,tI,Diacetylchitobiose binding protein DasA,35,1,35,1
agpA,tI,Periplasmic alpha-galactoside-binding protein,35,1,35,1
lrp_4,tI,Leucine-responsive regulatory protein,35,1,35,1
prc,tI,Tail-specific protease,35,1,35,1
sugC,tI,Trehalose import ATP-binding protein SugC,35,1,35,1
lsrD,tI,Autoinducer 2 import system permease protein LsrD,35,1,35,1
argE,tI,Acetylornithine deacetylase,35,1,35,1
nhaP2,tI,K(+)/H(+) antiporter NhaP2,35,1,35,1
group_2572,tI,Polyphosphate:ADP phosphotransferase 3,35,1,35,1
rcsC_2,tI,Sensor histidine kinase RcsC,35,1,35,1
melD,tI,Melibiose/raffinose/stachyose import permease protein MelD,35,1,35,1
otnC,tI,3-oxo-tetronate 4-phosphate decarboxylase,35,1,35,1
tctD,tI,Transcriptional regulatory protein tctD,35,1,35,1
iolG_3,tI,Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase,35,1,35,1
livH_3,tI,High-affinity branched-chain amino acid transport system permease protein LivH,35,1,35,1
gsiA_5,tI,Glutathione import ATP-binding protein GsiA,35,1,35,1
peb1A,tI,Major cell-binding factor,35,1,35,1
group_2592,tI,Ca(2+)/H(+) antiporter,35,1,35,1
azoB,tI,NAD(P)H azoreductase,35,1,35,1
pdhR,tI,Pyruvate dehydrogenase complex repressor,35,1,35,1
dgoD_4,tI,D-galactonate dehydratase,35,1,35,1
group_26,tI,6-deoxy-6-sulfogluconolactonase,35,1,35,1
udh_1,tI,Uronate dehydrogenase,35,1,35,1
gsiD_2,tI,Glutathione transport system permease protein GsiD,35,1,35,1
flgE,tI,Flagellar hook protein FlgE,35,1,35,1
eryA,tI,Erythritol kinase,35,1,35,1
ngcG,tI,Diacetylchitobiose uptake system permease protein NgcG,35,1,35,1
braC_2,tI,"Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein",35,1,35,1
glnQ_2,tI,Glutamine transport ATP-binding protein GlnQ,35,1,35,1
pucI,tI,putative allantoin permease,35,1,35,1
groS5,tI,10 kDa chaperonin 5,35,1,35,1
cdhR_2,tI,HTH-type transcriptional regulator CdhR,35,1,35,1
ggt,tI,Glutathione hydrolase proenzyme,35,1,35,1
ulaR_1,tI,HTH-type transcriptional regulator UlaR,35,1,35,1
potA_1,tI,Spermidine/putrescine import ATP-binding protein PotA,35,1,35,1
fliY_2,tI,L-cystine-binding protein FliY,35,1,35,1
denD,tI,D-erythronate dehydrogenase,35,1,35,1
occP,tI,Octopine permease ATP-binding protein P,35,1,35,1
hpaC,tI,4-hydroxyphenylacetate 3-monooxygenase reductase component,35,1,35,1
group_2625,tI,putative protein,35,1,35,1
gfa,tI,Glutathione-dependent formaldehyde-activating enzyme,35,1,35,1
aatB,tI,Aspartate aminotransferase,35,1,35,1
malK,tI,Maltose/maltodextrin import ATP-binding protein MalK,35,1,35,1
proA,tI,4-hydroxy-4-methyl-2-oxoglutarate aldolase/4-carboxy-4-hydroxy-2-oxoadipate aldolase,35,1,35,1
azoR,tI,FMN-dependent NADH-azoreductase,35,1,35,1
sasA_1,tI,Adaptive-response sensory-kinase SasA,35,1,35,1
lutR,tI,HTH-type transcriptional regulator LutR,35,1,35,1
glaR_2,tI,HTH-type transcriptional repressor GlaR,35,1,35,1
flhA,tI,S-(hydroxymethyl)glutathione dehydrogenase,35,1,35,1
ssuD,tI,Alkanesulfonate monooxygenase,35,1,35,1
panB,tI,3-methyl-2-oxobutanoate hydroxymethyltransferase,35,1,35,1
crt,tI,Short-chain-enoyl-CoA hydratase,35,1,35,1
ssuC,tI,Putative aliphatic sulfonates transport permease protein SsuC,35,1,35,1
rafR,tI,HTH-type transcriptional regulator RafR,35,1,35,1
purR_1,tI,HTH-type transcriptional repressor PurR,35,1,35,1
cnrA,tI,Nickel and cobalt resistance protein CnrA,35,1,35,1
oppC,tI,Oligopeptide transport system permease protein OppC,35,1,35,1
cynT,tI,Carbonic anhydrase 1,35,1,35,1
group_2662,tI,L-ribulose 3-epimerase,35,1,35,1
ydfG_2,tI,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,35,1,35,1
mdeA,tI,L-methionine gamma-lyase,35,1,35,1
griI,tI,"2-amino-4,5-dihydroxy-6-oxo-7-(phosphonooxy)heptanoate synthase",35,1,35,1
group_2668,tI,"2-hydroxy-1,4-benzoquinone reductase",35,1,35,1
ttuB,tI,Putative tartrate transporter,35,1,35,1
aadR,tI,Transcriptional activatory protein AadR,35,1,35,1
aar,tI,L-alanine/L-glutamate racemase,35,1,35,1
group_2676,tI,Glucosamine kinase,35,1,35,1
group_2677,tI,L-talarate/galactarate dehydratase,35,1,35,1
cytR,tI,HTH-type transcriptional repressor CytR,35,1,35,1
acxB,tI,Acetone carboxylase alpha subunit,35,1,35,1
panC,tI,Pantothenate synthetase,35,1,35,1
group_2683,tI,putative sulfate transporter,35,1,35,1
kduD,tI,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase,35,1,35,1
glpR,tI,Glycerol-3-phosphate regulon repressor,35,1,35,1
ugl,tI,Unsaturated chondroitin disaccharide hydrolase,35,1,35,1
fecE,tI,Fe(3+) dicitrate transport ATP-binding protein FecE,35,1,35,1
iolE_1,tI,Inosose dehydratase,35,1,35,1
yihV_1,tI,Sulfofructose kinase,35,1,35,1
group_2702,tI,2-ketogluconate reductase,35,1,35,1
